AREA,CIUDAD,ZONA,SECTOR,VIVIENDA,HOGAR,PERSONA,P02,P05A,P06,P09,P10,P11,P12B,P16,P18,P20C,P21,P23,P24,P25,P26,Partpropi,Partconvi,Partmedio,Partafijue,Partespen,Partdepor,Partdomin,Partdomex,Partcuida,PartiVolunComuni,Partdomto,Partrabajo,Partbusco,PartiAutoconsum,Partremuto,PartiTTT,ocupado,desocup,Etnia,id_upm,id_hogar,id_per,ciudades,provin,rn,dominio,fexp
1,10150,1,6,1,1,3,2,10, ,1,1, ,0,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,1,1,4,1,10, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,1,1,1,2,10,6,2, ,3,6, , , , , ,3811,9611,5,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,1,1,2,1,10,6,1,1, ,10,12, , ,11,3, , , ,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,2,1,1,2,1,3,2, ,5,6, , ,4, , ,4721,5221,2,2,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,2,1,2,2,10,6,1,1, ,3,12, , ,11,3, , , ,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,2,1,3,1,1,6,1,1, ,6,12, , ,11,3, , , ,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,2,1,4,1,1,6,1,1, ,6,12, , ,11,3, , , ,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,3,1,2,2,10,1,1,3, ,1,12, , ,11,3, , , ,1,1,2,2,2,2,1,1,1,2,1,2,2,1,1,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,3,1,1,1,10,1,2, ,1,3, , , , , ,150,6130,5,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,6,1,1,1,10,1,2, ,5,6, , , , , ,4100,9313,3,1,1,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,0,2,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,7,1,1,1,10,1,2, ,3, , , , , , ,113,9211,3,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,7,1,2,2,10,1,2, ,1,2, , , , , ,113,9211,3,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,9,1,3,2,10, ,1,1, ,6,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,9,1,4,1,10, ,1,1, ,4,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,9,1,1,1,10,1,2, ,5,6, , ,4, , ,4923,4323,4,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,9,1,2,2,10,1,2, ,8,6, , , , , ,9529,7531,5,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,12,1,4,2,10, ,1,1, ,0,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,12,1,1,1,1,1,2, ,1,3, , , , , ,2022,5249,2,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,12,1,2,2,10,1,2, ,1,3,12, , ,11,4, , , ,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,12,1,3,1,10,6,1,1, ,7,12, , ,11,3, , , ,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,6,2,1, ,1,1, ,5,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,1,1,1,1,2, ,5,6, , ,1, , ,9524,7115,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,2,2,10,1,2, ,5,3, , , , , ,5610,5120,5,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,3,1,1,6,2, ,5,3, , , , , ,5210,4321,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,4,1,1,6,1,4, ,1,12, , ,11,3, , , ,1,1,1,2,2,1,1,1,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,13,1,5,1,1,6,1,1, ,9,12, , ,11,3, , , ,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,6,1,10, ,1,1, ,4,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,3,1,10,6,1,1, ,3,12, , ,11,3, , , ,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,1,1,10,1,2, ,2,6, , , , , ,3100,7115,5,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,2,2,1,1,2, ,2,6, , , , , ,5610,5120,5,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,4,2,10,6,1,2, ,2,12, , ,11,3, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,14,1,5,2,10,6,1,1, ,3,12, , ,11,3, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,16,1,5,2,10, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,16,1,1,1,10,2,2, ,1,5, , , , , ,1071,7512,5,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,16,1,2,2,10,2,2, ,1,3,12, , ,11,4, , , ,1,1,1,1,1,2,1,1,2,2,1,2,2,1,1,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,16,1,3,2,10,5,2, ,14,6,12, , ,11,4, , , ,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,1,6,16,1,4,1,10,5,1,6, ,1,12, , ,11,3, , , ,2,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1, ,0,4,10150001006,1.02E+16,1.02E+18, ,1,1,1,215.639.415.370.108
1,10150,2,10,1,1,7,1,1, ,1,1, ,6,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,3,1,1,1,2, ,3,6, , ,2, , ,4922,8322,5,1,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,1,1,3,1,2, ,1,4, , , , , ,3100,7521,5,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,2,2,3,1,2, ,1,6, , , , , ,113,6111,5,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,4,2,1,1,2, ,2,4, , , , , ,8510,2341,1,2,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,5,2,1,6,1,6, ,2, , , , , ,6419,4211,2,2,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,1,1,6,1,1,6,1,1, ,1,12, , ,11,3, , , ,2,1,1,2,1,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,2,1,1,1,3,1,2, ,1,6, , ,1, , ,150,6130,5,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,2,1,2,2,3,1,2, ,1,6, , ,1, , ,150,6130,5,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,2,1,3,2,1,6,2, ,2,5, , , , , ,3600,4211,1,1,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,2,1,4,2,3,6,1,5, ,3,12, , ,11,3, , , ,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,4,1,4,2,1, ,1,1, ,6,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,4,1,5,1,1, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,4,1,2,2,1,1,2, ,2,5, , ,1, , ,8530,2310,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,4,1,1,1,1,1,2, ,2,5, , ,1, , ,8411,1112,1,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,4,1,3,1,1,6,1,1, ,2,12, , ,11,3, , , ,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,5,1,2,1,10,6,1,3, ,4, , , , , ,7110,3112,2,1,1,2,1,1,2,1,2,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,5,1,1,2,10,4,2, ,1,3, , , , , ,8510,2341,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,5,1,3,1,10,6,1,1, ,3,12, , ,11,3, , , ,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,6,1,2,2,10,1,2, ,1,1,12, , ,11,4, , , ,1,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,6,1,1,1,3,1,2, ,1,3,12, , ,11,5, , , ,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,8,1,2,1,10,4,2, ,1,6,12, , ,11,5, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,8,1,1,2,1,6,2, ,2,4, , , , , ,8521,2330,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,8,1,3,2,1,6,2, ,1,6,12, , ,11,4, , , ,1,1,2,1,2,1,1,2,1,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,9,1,1,1,10,1,2, ,5,6, , , , , ,2593,7221,5,2,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,9,1,2,2,10,1,2, ,12,6,12, , ,11,4, , , ,2,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,9,1,3,1,10,6,1,3, ,3,12, , ,11,3, , , ,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,9,1,4,1,10,6,1,1, ,1,12, , ,11,3, , , ,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,11,1,1,1,10,6,2, ,5,1, , ,2, , ,4100,7112,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,3,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,11,1,2,1,10,5,2, ,5,3, , ,2, , ,4100,7112,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,3,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,11,1,3,2,10,5,2, ,13,3,12, , ,11,4, , , ,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1, ,0,3,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,13,1,3,1,1,6,1,1, ,1, , , , , ,4649,5221,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,13,1,4,1,1,6,1,3, ,2, , , , , ,6419,4211,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,13,1,2,2,1,1,2, ,13,6, , , , , ,4719,5221,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,13,1,1,1,1,1,2, ,5,6, , , , , ,4719,5221,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,14,1,1,1,10,2,2, ,1,3,8, , , , ,150,6130,5,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,14,1,2,2,10,2,2, ,1,6,8, , , , ,150,6130,5,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,15,1,3,2,10, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,15,1,1,1,10,1,2, ,5,3, , , , , ,4921,8331,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,2,10,15,1,2,2,10,1,2, ,5,6, , , , , ,4711,5221,5,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,0,4,10150002010,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,1,1,4,2,10, ,1,1, ,3,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,1,1,2,2,10,1,2, ,2,4,12, , ,11,4, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,1,1,1,1,1,1,2, ,2,3, , , , , ,4520,7231,2,1,1,1,2,2,1,1,1,1,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,1,1,3,1,10,6,1,1, ,7,12, , ,11,3, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,2,1,4,1,10, ,1,1, ,2,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,2,1,5,2,10, , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0, ,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,2,1,1,1,1,1,1,6, ,2, , ,1, , ,5610,5120,5,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,2,1,2,2,10,1,2, ,3,6, , , , , ,9602,5141,5,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,2,1,3,1,10,6,1,2, ,7,12, , ,11,3, , , ,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,3,1,1,1,1,1,2, ,5,6, , , , , ,6910,4412,2,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,3,1,2,2,1,1,2, ,5,6, , , , , ,5811,5151,1,1,1,1,2,1,2,1,2,2,2,1,1,2,1,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,3,1,3,1,1,6,2, ,5,3, , , , , ,610,8113,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,4,1,1,1,10,1,2, ,5,6, , , , , ,4520,7231,5,1,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,4,1,2,2,1,1,2, ,2,5, , ,4, , ,8690,3212,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,4,1,3,2,1,6,2, ,2,5, , , , , ,8690,3212,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,4,1,4,2,1,6,2, ,2,2, , , , , ,8620,2261,1,1,1,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,6,1,1,2,2,3,2, ,3,1, , ,1, , ,4641,5221,5,1,1,1,2,2,2,1,1,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,6,1,2,2,10,6,1,1, ,3,12, , ,11,3, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,6,1,3,2,10,6,1,1, ,10,12, , ,11,3, , , ,1,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,7,1,1,2,2,6,2, ,1,6,12, , ,11,4, , , ,1,1,1,2,2,2,1,1,2,2,1,2,2,1,1,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,7,1,2,2,1,6,2, ,5,6, , , , , ,8620,5329,2,2,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,7,1,3,1,1,6,1,2, ,7,12, , ,11,3, , , ,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,8,1,3,2,1, ,1,1, ,4,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,8,1,4,1,1, ,1,1, ,2,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,8,1,5,2,1, ,1,1, ,0,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,8,1,1,1,2,1,2, ,2,5, , , , , ,8530,2310,2,1,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,8,1,2,2,1,1,2, ,2,5, , , , , ,3100,4110,2,1,1,1,2,1,2,1,1,1,2,1,1,2,1,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,9,1,4,2,10, ,1,1, ,4,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,9,1,2,2,1,1,2, ,5,3, , , , , ,8510,2341,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,9,1,3,1,10,6,1,1, ,8,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,9,1,1,1,10,1,2, ,1,3,12, , ,11,5, , , ,1,1,1,2,2,1,1,1,1,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,12,1,1,1,1,1,2, ,5,6, , , , , ,2750,8212,2,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,12,1,2,2,2,1,2, ,5,6, , , , , ,9602,5141,5,1,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,12,1,3,1,10,6,1,3, ,1,12, , ,11,3, , , ,1,1,1,2,2,1,1,1,2,2,1,2,2,1,1,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,12,1,4,2,1,6,1,1, ,1,12, , ,11,3, , , ,1,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,13,1,3,1,1, ,1,1, ,6,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,13,1,4,2,1, ,1,1, ,0,12, , ,11,3, , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,13,1,1,1,1,4,2, ,1,6,12, , ,11,2, , , ,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,1, ,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
1,10150,4,5,13,1,2,2,1,6,1,6, ,3, , , , , ,6910,4120,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,1,1,1,0,4,10150004005,1.02E+16,1.02E+18, ,1,1,1,196.035.832.154.644
